objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,arroyo_invitation.jpg,,,Invitación,Antonio Vanegas Arroyo (Firm),1943,"A poetic invitation to an exhibition featuring the work of print artist José Guadalupe Posada. Published by the Arsacio Vanegas Arroyo Firm, and features two images by Posada. ","Posada, José Guadalupe; Halftone Photomechanical Prints; Exhibitions; Invitations; ",Mexico City,19.432608,99.133209,"Photos, Prints, Drawings; Library of Congress Online Catalog",ppmsc 04590,Image;StillImage,image/jpeg,spa,Public domain,http://rightsstatements.org/vocab/InC/1.0/
coll002,,,,,,,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
coll014,,,,,,,,,,,,,,,,,,
coll015,,,,,,,,,,,,,,,,,,
coll016,,,,,,,,,,,,,,,,,,
coll017,,,,,,,,,,,,,,,,,,
coll018,,,,,,,,,,,,,,,,,,
coll019,,,,,,,,,,,,,,,,,,
coll020,,,,,,,,,,,,,,,,,,
coll021,,,,,,,,,,,,,,,,,,
coll022,,,,,,,,,,,,,,,,,,
coll023,,,,,,,,,,,,,,,,,,
coll024,,,,,,,,,,,,,,,,,,
coll025,,,,,,,,,,,,,,,,,,
coll026,,,,,,,,,,,,,,,,,,
coll027,,,,,,,,,,,,,,,,,,
coll028,,,,,,,,,,,,,,,,,,
coll029,,,,,,,,,,,,,,,,,,
coll030,,,,,,,,,,,,,,,,,,
